ID,collected?,mainCategory,subCategory,name,type,team,requirementText,rewardText,unobtainable?,paid?,altRequirementText,season,internalSort
2725,FALSE,Weapon Attachments,L85A3 Attachments,Lightened Suppressor,Muzzles,,L85A3 Mastery 32,,,,,0,80
2726,FALSE,Weapon Attachments,L85A3 Attachments,Bipod,Underbarrels,,L85A3 Mastery 32,,,,,0,80
2727,FALSE,Weapon Attachments,L85A3 Attachments,50 MW Green,Top Accessories,,L85A3 Mastery 33,,,,,0,80
2728,FALSE,Weapon Attachments,L85A3 Attachments,Compensated Brake,Muzzles,,L85A3 Mastery 33,,,,,0,80
2729,FALSE,Weapon Attachments,L85A3 Attachments,A-P2 1.75x,Scopes,,L85A3 Mastery 34,,,,,0,80
2730,FALSE,Weapon Attachments,L85A3 Attachments,45RND Magazine,Magazines,,L85A3 Mastery 34,,,,,0,80
2731,FALSE,Weapon Attachments,L85A3 Attachments,MC-CO LPVO,Scopes,,L85A3 Mastery 35,,,,,0,80
2732,FALSE,Weapon Attachments,L85A3 Attachments,Classic Grip Pod,Underbarrels,,L85A3 Mastery 35,,,,,0,80
2733,FALSE,Weapon Attachments,L85A3 Attachments,PAS-35 3.00x,Scopes,,L85A3 Mastery 36,,,,,0,80
2734,FALSE,Weapon Attachments,L85A3 Attachments,50 MW Blue,Top Accessories,,L85A3 Mastery 36,,,,,0,80
2735,FALSE,Weapon Attachments,L85A3 Attachments,DVO LPVO,Scopes,,L85A3 Mastery 37,,,,,0,80
2736,FALSE,Weapon Attachments,L85A3 Attachments,Frangible,Ammunition,,L85A3 Mastery 37,,,,,0,80
2737,FALSE,Weapon Attachments,L85A3 Attachments,SF-G2 5.00x,Scopes,,L85A3 Mastery 38,,,,,0,80
2738,FALSE,Weapon Attachments,L85A3 Attachments,120 MW Blue,Top Accessories,,L85A3 Mastery 38,,,,,0,80
2739,FALSE,Weapon Attachments,L85A3 Attachments,Mars-F LPVO,Scopes,,L85A3 Mastery 39,,,,,0,80
2740,FALSE,Weapon Attachments,L85A3 Attachments,518mm Fluted,Barrels,,L85A3 Mastery 39,,,,,0,80
2741,FALSE,Weapon Attachments,L85A3 Attachments,OSA-7 1.00x,Scopes,,L85A3 Mastery 4,,,,,0,80
2742,FALSE,Weapon Attachments,L85A3 Attachments,Flashlight,Right Accessories,,L85A3 Mastery 4,,,,,0,80
2743,FALSE,Weapon Attachments,L85A3 Attachments,Full Angled,Underbarrels,,L85A3 Mastery 40,,,,,0,80
2744,FALSE,Weapon Attachments,L85A3 Attachments,45RND Fast Mag,Magazines,,L85A3 Mastery 40,,,,,0,80
2745,FALSE,Weapon Attachments,L85A3 Attachments,Ribbed Vertical,Underbarrels,,L85A3 Mastery 5,,,,,0,80
2746,FALSE,Weapon Attachments,L85A3 Attachments,2PRO 1.25x,Scopes,,L85A3 Mastery 6,,,,,0,80
2747,FALSE,Weapon Attachments,L85A3 Attachments,20RND Magazine,Magazines,,L85A3 Mastery 6,,,,,0,80
2748,FALSE,Weapon Attachments,L85A3 Attachments,CQ RDS 1.25x,Scopes,,L85A3 Mastery 7,,,,,0,80
2749,FALSE,Weapon Attachments,L85A3 Attachments,Single-Port Brake,Muzzles,,L85A3 Mastery 7,,,,,0,80
2750,FALSE,Weapon Attachments,L85A3 Attachments,SU-231 1.50x,Scopes,,L85A3 Mastery 8,,,,,0,80
2751,FALSE,Weapon Attachments,L85A3 Attachments,5 MW Red,Top Accessories,,L85A3 Mastery 8,,,,,0,80
2752,FALSE,Weapon Attachments,L85A3 Attachments,Linear Comp,Muzzles,,L85A3 Mastery 9,,,,,0,80
2753,FALSE,Weapon Attachments,L85A3 Attachments,30RND Fast Mag,Magazines,,L85A3 Mastery 9,,,,,0,80
2754,FALSE,Weapon Packages,L85A3 Packages,Factory,Assault Rifle,,Challenge RAPID FIRE 3,,,,,0,8
2755,FALSE,Weapon Packages,L85A3 Packages,Warfighter,Assault Rifle,,L85A3 Mastery 10,,,,,0,8
2756,FALSE,Weapon Packages,L85A3 Packages,Unstoppable Force,Assault Rifle,,L85A3 Mastery 50,,,,,0,8
2757,FALSE,Weapon Attachments,LMR27 Attachments,SU-230 LPVO,Scopes,,Challenge SEASON 1 HARDWARE 1,,,,,1,390
2758,FALSE,Weapon Attachments,LMR27 Attachments,Iron Sights,Scopes,,Rank 16,,,,,0,390
2759,FALSE,Weapon Attachments,LMR27 Attachments,BAKER 3.00x,Scopes,,Rank 16,,,,,0,390
2760,FALSE,Weapon Attachments,LMR27 Attachments,Flash Hider,Muzzles,,Rank 16,,,,,0,390
2761,FALSE,Weapon Attachments,LMR27 Attachments,"21.5"" Factory",Barrels,,Rank 16,,,,,0,390
2762,FALSE,Weapon Attachments,LMR27 Attachments,Factory Angled,Underbarrels,,Rank 16,,,,,0,390
2763,FALSE,Weapon Attachments,LMR27 Attachments,Bipod,Underbarrels,,Rank 16,,,,,0,390
2764,FALSE,Weapon Attachments,LMR27 Attachments,10RND Magazine,Magazines,,Rank 16,,,,,0,390
2765,FALSE,Weapon Attachments,LMR27 Attachments,FMJ,Ammunition,,Rank 16,,,,,0,390
2766,FALSE,Weapon Attachments,LMR27 Attachments,OSA-7 1.00x,Scopes,,LMR27 Mastery 1,,,,,0,390
2767,FALSE,Weapon Attachments,LMR27 Attachments,5 MW Red,Right Accessories,,LMR27 Mastery 1,,,,,0,390
2768,FALSE,Weapon Attachments,LMR27 Attachments,ST Prisim 5.00x,Scopes,,LMR27 Mastery 10,,,,,0,390
2769,FALSE,Weapon Attachments,LMR27 Attachments,Ribbed Vertical,Underbarrels,,LMR27 Mastery 11,,,,,0,390
2770,FALSE,Weapon Attachments,LMR27 Attachments,Hollow Point,Ammunition,,LMR27 Mastery 11,,,,,0,390
2771,FALSE,Weapon Attachments,LMR27 Attachments,R4T 2.00x,Scopes,,LMR27 Mastery 12,,,,,0,390
2772,FALSE,Weapon Attachments,LMR27 Attachments,SDO 3.50x,Scopes,,LMR27 Mastery 13,,,,,0,390
2773,FALSE,Weapon Attachments,LMR27 Attachments,6H64 Vertical,Underbarrels,,LMR27 Mastery 13,,,,,0,390
2774,FALSE,Weapon Attachments,LMR27 Attachments,A-P2 1.75x,Scopes,,LMR27 Mastery 14,,,,,0,390
2775,FALSE,Weapon Attachments,LMR27 Attachments,Piggyback Reflex,Optic Accessories,,LMR27 Mastery 14,,,,,0,390
2776,FALSE,Weapon Attachments,LMR27 Attachments,15RND Magazine,Magazines,,LMR27 Mastery 14,,,,,0,390
2777,FALSE,Weapon Attachments,LMR27 Attachments,Mini Flex 1.00x,Scopes,,LMR27 Mastery 15,,,,,0,390
2778,FALSE,Weapon Attachments,LMR27 Attachments,"24"" Extended",Barrels,,LMR27 Mastery 15,,,,,0,390
2779,FALSE,Weapon Attachments,LMR27 Attachments,PTT Grip Pod,Underbarrels,,LMR27 Mastery 15,,,,,0,390
2780,FALSE,Weapon Attachments,LMR27 Attachments,ROX 1.50x,Scopes,,LMR27 Mastery 16,,,,,0,390
2781,FALSE,Weapon Attachments,LMR27 Attachments,50 MW Green,Right Accessories,,LMR27 Mastery 16,,,,,0,390
2782,FALSE,Weapon Attachments,LMR27 Attachments,Classic Vertical,Underbarrels,,LMR27 Mastery 16,,,,,0,390
2783,FALSE,Weapon Attachments,LMR27 Attachments,PVQ-31 4.00x,Scopes,,LMR27 Mastery 17,,,,,0,390
2784,FALSE,Weapon Attachments,LMR27 Attachments,CQB Suppressor,Muzzles,,LMR27 Mastery 17,,,,,0,390
2785,FALSE,Weapon Attachments,LMR27 Attachments,SF-G2 5.00x,Scopes,,LMR27 Mastery 18,,,,,0,390
2786,FALSE,Weapon Attachments,LMR27 Attachments,15RND Fast Mag,Magazines,,LMR27 Mastery 19,,,,,0,390
2787,FALSE,Weapon Attachments,LMR27 Attachments,Frangible,Ammunition,,LMR27 Mastery 19,,,,,0,390
2788,FALSE,Weapon Attachments,LMR27 Attachments,2PRO 1.25x,Scopes,,LMR27 Mastery 2,,,,,0,390
2789,FALSE,Weapon Attachments,LMR27 Attachments,Folding Vertical,Underbarrels,,LMR27 Mastery 2,,,,,0,390
2790,FALSE,Weapon Attachments,LMR27 Attachments,Mars-F LPVO,Scopes,,LMR27 Mastery 20,,,,,0,390
2791,FALSE,Weapon Attachments,LMR27 Attachments,Long Suppressor,Muzzles,,LMR27 Mastery 20,,,,,0,390
2792,FALSE,Weapon Attachments,LMR27 Attachments,RO-M 1.75x,Scopes,,LMR27 Mastery 21,,,,,0,390
2793,FALSE,Weapon Attachments,LMR27 Attachments,Folding Stubby,Underbarrels,,LMR27 Mastery 21,,,,,0,390
2794,FALSE,Weapon Attachments,LMR27 Attachments,DVO LPVO,Scopes,,LMR27 Mastery 22,,,,,0,390
2795,FALSE,Weapon Attachments,LMR27 Attachments,Canted Reflex,Optic Accessories,,LMR27 Mastery 22,,,,,0,390
2796,FALSE,Weapon Attachments,LMR27 Attachments,S-VPS 6.00x,Scopes,,LMR27 Mastery 23,,,,,0,390
2797,FALSE,Weapon Attachments,LMR27 Attachments,LDS 4.50x,Scopes,,LMR27 Mastery 24,,,,,0,390
2798,FALSE,Weapon Attachments,LMR27 Attachments,Ribbed Stubby,Underbarrels,,LMR27 Mastery 24,,,,,0,390
2799,FALSE,Weapon Attachments,LMR27 Attachments,R-VPS 10.00x,Scopes,,LMR27 Mastery 25,,,,,0,390
2800,FALSE,Weapon Attachments,LMR27 Attachments,QD Grip Pod,Underbarrels,,LMR27 Mastery 25,,,,,0,390
2801,FALSE,Weapon Attachments,LMR27 Attachments,MC-CO LPVO,Scopes,,LMR27 Mastery 26,,,,,0,390
2802,FALSE,Weapon Attachments,LMR27 Attachments,Canted Stubby,Underbarrels,,LMR27 Mastery 26,,,,,0,390
2803,FALSE,Weapon Attachments,LMR27 Attachments,SSDS 6.00x,Scopes,,LMR27 Mastery 27,,,,,0,390
2804,FALSE,Weapon Attachments,LMR27 Attachments,Range Finder,Left Accessories,,LMR27 Mastery 27,,,,,0,390
2805,FALSE,Weapon Attachments,LMR27 Attachments,R-MR 1.00x,Scopes,,LMR27 Mastery 28,,,,,0,390
2806,FALSE,Weapon Attachments,LMR27 Attachments,50 MW Blue,Right Accessories,,LMR27 Mastery 28,,,,,0,390
2807,FALSE,Weapon Attachments,LMR27 Attachments,20RND Magazine,Magazines,,LMR27 Mastery 28,,,,,0,390
2808,FALSE,Weapon Attachments,LMR27 Attachments,RO-S 1.25x,Scopes,,LMR27 Mastery 29,,,,,0,390
2809,FALSE,Weapon Attachments,LMR27 Attachments,Stippled Stubby,Underbarrels,,LMR27 Mastery 29,,,,,0,390
2810,FALSE,Weapon Attachments,LMR27 Attachments,Flashlight,Left Accessories,,LMR27 Mastery 3,,,,,0,390
2811,FALSE,Weapon Attachments,LMR27 Attachments,Linear Comp,Muzzles,,LMR27 Mastery 3,,,,,0,390
2812,FALSE,Weapon Attachments,LMR27 Attachments,1P88 Variable,Scopes,,LMR27 Mastery 30,,,,,0,390
2813,FALSE,Weapon Attachments,LMR27 Attachments,Double-Port Brake,Muzzles,,LMR27 Mastery 30,,,,,0,390
2814,FALSE,Weapon Attachments,LMR27 Attachments,CQ RDS 1.25x,Scopes,,LMR27 Mastery 31,,,,,0,390
2815,FALSE,Weapon Attachments,LMR27 Attachments,Low-Profile Stubby,Underbarrels,,LMR27 Mastery 31,,,,,0,390
2816,FALSE,Weapon Attachments,LMR27 Attachments,NFX 8.00x,Scopes,,LMR27 Mastery 32,,,,,0,390
2817,FALSE,Weapon Attachments,LMR27 Attachments,LERT 8.00x,Scopes,,LMR27 Mastery 33,,,,,0,390
2818,FALSE,Weapon Attachments,LMR27 Attachments,Adjustable Angled,Underbarrels,,LMR27 Mastery 33,,,,,0,390
2819,FALSE,Weapon Attachments,LMR27 Attachments,1P87 1.50x,Scopes,,LMR27 Mastery 34,,,,,0,390
2820,FALSE,Weapon Attachments,LMR27 Attachments,120 MW Blue,Right Accessories,,LMR27 Mastery 34,,,,,0,390
2821,FALSE,Weapon Attachments,LMR27 Attachments,PAS-35 3.00x,Scopes,,LMR27 Mastery 35,,,,,0,390
2822,FALSE,Weapon Attachments,LMR27 Attachments,Classic Grip Pod,Underbarrels,,LMR27 Mastery 35,,,,,0,390
2823,FALSE,Weapon Attachments,LMR27 Attachments,Lightened Suppressor,Muzzles,,LMR27 Mastery 36,,,,,0,390
2824,FALSE,Weapon Attachments,LMR27 Attachments,Full Angled,Underbarrels,,LMR27 Mastery 36,,,,,0,390
2825,FALSE,Weapon Attachments,LMR27 Attachments,Compensated Brake,Muzzles,,LMR27 Mastery 37,,,,,0,390
2826,FALSE,Weapon Attachments,LMR27 Attachments,SM Rifle Variable,Scopes,,LMR27 Mastery 38,,,,,0,390
2827,FALSE,Weapon Attachments,LMR27 Attachments,Synthetic Tip,Ammunition,,LMR27 Mastery 38,,,,,0,390
2828,FALSE,Weapon Attachments,LMR27 Attachments,TS-HD 6.00x,Scopes,,LMR27 Mastery 39,,,,,0,390
2829,FALSE,Weapon Attachments,LMR27 Attachments,20RND Fast Mag,Magazines,,LMR27 Mastery 39,,,,,0,390
2830,FALSE,Weapon Attachments,LMR27 Attachments,CCO 2.00x,Scopes,,LMR27 Mastery 4,,,,,0,390
2831,FALSE,Weapon Attachments,LMR27 Attachments,Improved Mag Catch,Ergonomics,,LMR27 Mastery 4,,,,,0,390
2832,FALSE,Weapon Attachments,LMR27 Attachments,Grim 1.50x,Scopes,,LMR27 Mastery 40,,,,,0,390
2833,FALSE,Weapon Attachments,LMR27 Attachments,"21.5"" Fluted",Barrels,,LMR27 Mastery 40,,,,,0,390
2834,FALSE,Weapon Attachments,LMR27 Attachments,5 MW Green,Right Accessories,,LMR27 Mastery 5,,,,,0,390
2835,FALSE,Weapon Attachments,LMR27 Attachments,10RND Fast Mag,Magazines,,LMR27 Mastery 5,,,,,0,390
2836,FALSE,Weapon Attachments,LMR27 Attachments,BF-2M 2.50x,Scopes,,LMR27 Mastery 6,,,,,0,390
2837,FALSE,Weapon Attachments,LMR27 Attachments,Single-Port Brake,Muzzles,,LMR27 Mastery 6,,,,,0,390
2838,FALSE,Weapon Attachments,LMR27 Attachments,Alloy Vertical,Underbarrels,,LMR27 Mastery 7,,,,,0,390
2839,FALSE,Weapon Attachments,LMR27 Attachments,Tungsten Core,Ammunition,,LMR27 Mastery 7,,,,,0,390
2840,FALSE,Weapon Attachments,LMR27 Attachments,3VZR 1.75x,Scopes,,LMR27 Mastery 8,,,,,0,390
2841,FALSE,Weapon Attachments,LMR27 Attachments,Canted Iron Sight,Optic Accessories,,LMR27 Mastery 8,,,,,0,390
2842,FALSE,Weapon Attachments,LMR27 Attachments,SU-231 1.50x,Scopes,,LMR27 Mastery 9,,,,,0,390
2843,FALSE,Weapon Attachments,LMR27 Attachments,Standard Suppressor,Muzzles,,LMR27 Mastery 9,,,,,0,390
2844,FALSE,Weapon Packages,LMR27 Packages,Factory,DMR,,Rank 16,,,,,0,2
2845,FALSE,Weapon Packages,LMR27 Packages,Warfighter,DMR,,LMR27 Mastery 10,,,,,0,2
2846,FALSE,Weapon Packages,LMR27 Packages,Unstoppable Force,DMR,,LMR27 Mastery 50,,,,,0,2
2847,FALSE,Weapon Attachments,M/60 Attachments,SU-230 LPVO,Scopes,,Challenge SEASON 1 HARDWARE 1,,,,,1,300
2848,FALSE,Weapon Attachments,M/60 Attachments,Iron Sights,Scopes,,Rank 20,,,,,0,300
2849,FALSE,Weapon Attachments,M/60 Attachments,BAKER 3.00x,Scopes,,Rank 20,,,,,0,300
2850,FALSE,Weapon Attachments,M/60 Attachments,Flash Hider,Muzzles,,Rank 20,,,,,0,300
2851,FALSE,Weapon Attachments,M/60 Attachments,"17"" Factory",Barrels,,Rank 20,,,,,0,300
2852,FALSE,Weapon Attachments,M/60 Attachments,Bipod,Underbarrels,,Rank 20,,,,,0,300
2853,FALSE,Weapon Attachments,M/60 Attachments,100RND Belt Pouch,Magazines,,Rank 20,,,,,0,300
2854,FALSE,Weapon Attachments,M/60 Attachments,FMJ,Ammunition,,Rank 20,,,,,0,300
2855,FALSE,Weapon Attachments,M/60 Attachments,Mini Flex 1.00x,Scopes,,M/60 Mastery 1,,,,,0,300
2856,FALSE,Weapon Attachments,M/60 Attachments,Folding Vertical,Underbarrels,,M/60 Mastery 1,,,,,0,300
2857,FALSE,Weapon Attachments,M/60 Attachments,Canted Iron Sights,Optic Accessories,,M/60 Mastery 10,,,,,0,300
2858,FALSE,Weapon Attachments,M/60 Attachments,BF-2M 2.50x,Scopes,,M/60 Mastery 11,,,,,0,300
2859,FALSE,Weapon Attachments,M/60 Attachments,PTT Grip Pod,Underbarrels,,M/60 Mastery 11,,,,,0,300
2860,FALSE,Weapon Attachments,M/60 Attachments,OSA-7 1.00x,Scopes,,M/60 Mastery 12,,,,,0,300
2861,FALSE,Weapon Attachments,M/60 Attachments,5 MW Green,Right Accessories,,M/60 Mastery 12,,,,,0,300
2862,FALSE,Weapon Attachments,M/60 Attachments,Double-Port Brake,Muzzles,,M/60 Mastery 13,,,,,0,300
2863,FALSE,Weapon Attachments,M/60 Attachments,Mars-F LPVO,Scopes,,M/60 Mastery 14,,,,,0,300
2864,FALSE,Weapon Attachments,M/60 Attachments,6H64 Vertical,Underbarrels,,M/60 Mastery 14,,,,,0,300
2865,FALSE,Weapon Attachments,M/60 Attachments,A-P2 1.75x,Scopes,,M/60 Mastery 15,,,,,0,300
2866,FALSE,Weapon Attachments,M/60 Attachments,Hollow Point,Ammunition,,M/60 Mastery 15,,,,,0,300
2867,FALSE,Weapon Attachments,M/60 Attachments,ST Prisim 5.00x,Scopes,,M/60 Mastery 16,,,,,0,300
2868,FALSE,Weapon Attachments,M/60 Attachments,Adjustable Angled,Underbarrels,,M/60 Mastery 16,,,,,0,300
2869,FALSE,Weapon Attachments,M/60 Attachments,ROX 1.50x,Scopes,,M/60 Mastery 17,,,,,0,300
2870,FALSE,Weapon Attachments,M/60 Attachments,Compensated Brake,Muzzles,,M/60 Mastery 17,,,,,0,300
2871,FALSE,Weapon Attachments,M/60 Attachments,Slim Angled,Underbarrels,,M/60 Mastery 18,,,,,0,300
2872,FALSE,Weapon Attachments,M/60 Attachments,R4T 2.00x,Scopes,,M/60 Mastery 19,,,,,0,300
2873,FALSE,Weapon Attachments,M/60 Attachments,50 MW Green,Right Accessories,,M/60 Mastery 19,,,,,0,300
2874,FALSE,Weapon Attachments,M/60 Attachments,RO-M 1.75x,Scopes,,M/60 Mastery 2,,,,,0,300
2875,FALSE,Weapon Attachments,M/60 Attachments,Canted Reflex,Optic Accessories,,M/60 Mastery 20,,,,,0,300
2876,FALSE,Weapon Attachments,M/60 Attachments,LDS 4.50x,Scopes,,M/60 Mastery 21,,,,,0,300
2877,FALSE,Weapon Attachments,M/60 Attachments,Ribbed Stubby,Underbarrels,,M/60 Mastery 21,,,,,0,300
2878,FALSE,Weapon Attachments,M/60 Attachments,Standard Suppressor,Muzzles,,M/60 Mastery 22,,,,,0,300
2879,FALSE,Weapon Attachments,M/60 Attachments,Grim 1.50x,Scopes,,M/60 Mastery 23,,,,,0,300
2880,FALSE,Weapon Attachments,M/60 Attachments,Canted Stubby,Underbarrels,,M/60 Mastery 23,,,,,0,300
2881,FALSE,Weapon Attachments,M/60 Attachments,Single-Port Brake,Muzzles,,M/60 Mastery 24,,,,,0,300
2882,FALSE,Weapon Attachments,M/60 Attachments,R-MR 1.00x,Scopes,,M/60 Mastery 25,,,,,0,300
2883,FALSE,Weapon Attachments,M/60 Attachments,Full Angled,Underbarrels,,M/60 Mastery 25,,,,,0,300
2884,FALSE,Weapon Attachments,M/60 Attachments,50 MW Blue,Right Accessories,,M/60 Mastery 26,,,,,0,300
2885,FALSE,Weapon Attachments,M/60 Attachments,MC-CO LPVO,Scopes,,M/60 Mastery 27,,,,,0,300
2886,FALSE,Weapon Attachments,M/60 Attachments,Long Suppressor,Muzzles,,M/60 Mastery 27,,,,,0,300
2887,FALSE,Weapon Attachments,M/60 Attachments,QD Grip Pod,Underbarrels,,M/60 Mastery 28,,,,,0,300
2888,FALSE,Weapon Attachments,M/60 Attachments,3VZR 1.75x,Scopes,,M/60 Mastery 29,,,,,0,300
2889,FALSE,Weapon Attachments,M/60 Attachments,"17"" Fluted",Barrels,,M/60 Mastery 29,,,,,0,300
2890,FALSE,Weapon Attachments,M/60 Attachments,PVQ-31 4.00x,Scopes,,M/60 Mastery 3,,,,,0,300
2891,FALSE,Weapon Attachments,M/60 Attachments,Tungsten Core,Ammunition,,M/60 Mastery 3,,,,,0,300
2892,FALSE,Weapon Attachments,M/60 Attachments,Piggyback Reflex,Optic Accessories,,M/60 Mastery 30,,,,,0,300
2893,FALSE,Weapon Attachments,M/60 Attachments,SF-G2 5.00x,Scopes,,M/60 Mastery 31,,,,,0,300
2894,FALSE,Weapon Attachments,M/60 Attachments,Classic Grip Pod,Underbarrels,,M/60 Mastery 31,,,,,0,300
2895,FALSE,Weapon Attachments,M/60 Attachments,CQB Suppressor,Muzzles,,M/60 Mastery 32,,,,,0,300
2896,FALSE,Weapon Attachments,M/60 Attachments,RO-S 1.25x,Scopes,,M/60 Mastery 33,,,,,0,300
2897,FALSE,Weapon Attachments,M/60 Attachments,120 MW Blue,Right Accessories,,M/60 Mastery 33,,,,,0,300
2898,FALSE,Weapon Attachments,M/60 Attachments,Classic Vertical,Underbarrels,,M/60 Mastery 34,,,,,0,300
2899,FALSE,Weapon Attachments,M/60 Attachments,Frangible,Ammunition,,M/60 Mastery 35,,,,,0,300
2900,FALSE,Weapon Attachments,M/60 Attachments,PAS-35 3.00x,Scopes,,M/60 Mastery 36,,,,,0,300
2901,FALSE,Weapon Attachments,M/60 Attachments,2PRO 1.25x,Scopes,,M/60 Mastery 37,,,,,0,300
2902,FALSE,Weapon Attachments,M/60 Attachments,Stippled Stubby,Underbarrels,,M/60 Mastery 37,,,,,0,300
2903,FALSE,Weapon Attachments,M/60 Attachments,Lightened Suppressor,Muzzles,,M/60 Mastery 38,,,,,0,300
2904,FALSE,Weapon Attachments,M/60 Attachments,1P87 1.50x,Scopes,,M/60 Mastery 39,,,,,0,300
2905,FALSE,Weapon Attachments,M/60 Attachments,Low-Profile Stubby,Underbarrels,,M/60 Mastery 39,,,,,0,300
2906,FALSE,Weapon Attachments,M/60 Attachments,"22"" E3 Long",Barrels,,M/60 Mastery 4,,,,,0,300
2907,FALSE,Weapon Attachments,M/60 Attachments,Alloy Vertical,Underbarrels,,M/60 Mastery 4,,,,,0,300
2908,FALSE,Weapon Attachments,M/60 Attachments,DVO LPVO,Scopes,,M/60 Mastery 40,,,,,0,300
2909,FALSE,Weapon Attachments,M/60 Attachments,CQ RDS 1.25x,Scopes,,M/60 Mastery 5,,,,,0,300
2910,FALSE,Weapon Attachments,M/60 Attachments,5 MW Red,Right Accessories,,M/60 Mastery 5,,,,,0,300
2911,FALSE,Weapon Attachments,M/60 Attachments,50RND Loose Belt,Magazines,,M/60 Mastery 5,,,,,0,300
2912,FALSE,Weapon Attachments,M/60 Attachments,CCO 2.00x,Scopes,,M/60 Mastery 6,,,,,0,300
2913,FALSE,Weapon Attachments,M/60 Attachments,Ribbed Vertical,Underbarrels,,M/60 Mastery 6,,,,,0,300
2914,FALSE,Weapon Attachments,M/60 Attachments,SDO 3.50x,Scopes,,M/60 Mastery 7,,,,,0,300
2915,FALSE,Weapon Attachments,M/60 Attachments,Linear Comp,Muzzles,,M/60 Mastery 7,,,,,0,300
2916,FALSE,Weapon Attachments,M/60 Attachments,Flashlight,Left Accessories,,M/60 Mastery 8,,,,,0,300
2917,FALSE,Weapon Attachments,M/60 Attachments,SU-231 1.50x,Scopes,,M/60 Mastery 9,,,,,0,300
2918,FALSE,Weapon Attachments,M/60 Attachments,Folding Stubby,Underbarrels,,M/60 Mastery 9,,,,,0,300
2919,FALSE,Weapon Packages,M/60 Packages,Factory,LMG,,Rank 20,,,,,0,3
2920,FALSE,Weapon Packages,M/60 Packages,Warfighter,LMG,,M/60 Mastery 10,,,,,0,3
2921,FALSE,Weapon Packages,M/60 Packages,Unstoppable Force,LMG,,M/60 Mastery 50,,,,,0,3
2922,FALSE,Weapon Packages,M/60 Packages,Huntsman,LMG,,Participate in the Battlefield 6 Open Beta,,,,,0,3
2923,FALSE,Weapon Packages,M/60 Packages,Coincidence,LMG,,Season 1 Battle Pass Soldiers of Fortune Tier 16,,,x,,1,3
2924,FALSE,Weapon Attachments,M1014 Attachments,SU-230 LPVO,Scopes,,Challenge SEASON 1 HARDWARE 1,,,,,1,490
2925,FALSE,Weapon Attachments,M1014 Attachments,Iron Sights,Scopes,,Rank 42,,,,,0,490
2926,FALSE,Weapon Attachments,M1014 Attachments,"18.5"" Factory",Barrels,,Rank 42,,,,,0,490
2927,FALSE,Weapon Attachments,M1014 Attachments,7 Shell Tube,Magazines,,Rank 42,,,,,0,490
2928,FALSE,Weapon Attachments,M1014 Attachments,#01 Buckshot,Ammunition,,Rank 42,,,,,0,490
2929,FALSE,Weapon Attachments,M1014 Attachments,2PRO 1.25x,Scopes,,M1014 Mastery 1,,,,,0,490
2930,FALSE,Weapon Attachments,M1014 Attachments,Slim Angled,Underbarrels,,M1014 Mastery 10,,,,,0,490
2931,FALSE,Weapon Attachments,M1014 Attachments,RO-M 1.75x,Scopes,,M1014 Mastery 11,,,,,0,490
2932,FALSE,Weapon Attachments,M1014 Attachments,CQ RDS 1.25x,Scopes,,M1014 Mastery 12,,,,,0,490
2933,FALSE,Weapon Attachments,M1014 Attachments,Canted Iron Sights,Optic Accessories,,M1014 Mastery 12,,,,,0,490
2934,FALSE,Weapon Attachments,M1014 Attachments,Flashlight,Left Accessories,,M1014 Mastery 13,,,,,0,490
2935,FALSE,Weapon Attachments,M1014 Attachments,SF-G2 5.00x,Scopes,,M1014 Mastery 14,,,,,0,490
2936,FALSE,Weapon Attachments,M1014 Attachments,Folding Vertical,Underbarrels,,M1014 Mastery 14,,,,,0,490
2937,FALSE,Weapon Attachments,M1014 Attachments,50 MW Blue,Right Accessories,,M1014 Mastery 15,,,,,0,490
2938,FALSE,Weapon Attachments,M1014 Attachments,BAKER 3.00x,Scopes,,M1014 Mastery 16,,,,,0,490
2939,FALSE,Weapon Attachments,M1014 Attachments,Grim 1.50x,Scopes,,M1014 Mastery 17,,,,,0,490
2940,FALSE,Weapon Attachments,M1014 Attachments,Folding Stubby,Underbarrels,,M1014 Mastery 17,,,,,0,490
2941,FALSE,Weapon Attachments,M1014 Attachments,CQB Suppressor,Muzzles,,M1014 Mastery 18,,,,,0,490
2942,FALSE,Weapon Attachments,M1014 Attachments,Mini Flex 1.00x,Scopes,,M1014 Mastery 19,,,,,0,490
2943,FALSE,Weapon Attachments,M1014 Attachments,Adjustable Angled,Underbarrels,,M1014 Mastery 19,,,,,0,490
2944,FALSE,Weapon Attachments,M1014 Attachments,CCO 2.00x,Scopes,,M1014 Mastery 2,,,,,0,490
2945,FALSE,Weapon Attachments,M1014 Attachments,Alloy Vertical,Underbarrels,,M1014 Mastery 2,,,,,0,490
2946,FALSE,Weapon Attachments,M1014 Attachments,3VZR 1.75x,Scopes,,M1014 Mastery 20,,,,,0,490
2947,FALSE,Weapon Attachments,M1014 Attachments,6H64 Vertical,Underbarrels,,M1014 Mastery 21,,,,,0,490
2948,FALSE,Weapon Attachments,M1014 Attachments,OSA-7 1.00x,Scopes,,M1014 Mastery 22,,,,,0,490
2949,FALSE,Weapon Attachments,M1014 Attachments,5 MW Green,Right Accessories,,M1014 Mastery 23,,,,,0,490
2950,FALSE,Weapon Attachments,M1014 Attachments,BF-2M 2.50x,Scopes,,M1014 Mastery 24,,,,,0,490
2951,FALSE,Weapon Attachments,M1014 Attachments,Canted Reflex,Optic Accessories,,M1014 Mastery 24,,,,,0,490
